0.3,1.0,20000.0,50,1,1.4194366313918387
0.3,1.0,20000.0,50,2,1.0940825424780771
0.3,1.0,20000.0,50,5,1.0035641365823604
0.3,1.0,20000.0,50,10,1.00033481902675
0.5,1.0,20000.0,50,1,1.9834498056285281
0.5,1.0,20000.0,50,2,1.2649144812933157
0.5,1.0,20000.0,50,5,1.0349693920233327
0.5,1.0,20000.0,50,10,1.00208989128126
0.7,1.0,20000.0,50,1,3.027845237329613
0.7,1.0,20000.0,50,2,1.6176249039738824
0.7,1.0,20000.0,50,5,1.1860282347271358
0.7,1.0,20000.0,50,10,1.0530992021862662
0.9,1.0,20000.0,50,1,4.677871723620628
0.9,1.0,20000.0,50,2,2.686092912620456
0.9,1.0,20000.0,50,5,1.6968028807728464
0.9,1.0,20000.0,50,10,1.4307589286186098
