0.3,1.0,20000.0,50,1,1.4260509013627627
0.3,1.0,20000.0,50,2,1.0879937498927532
0.3,1.0,20000.0,50,5,1.0060074138107034
0.3,1.0,20000.0,50,10,0.997976167400876
0.5,1.0,20000.0,50,1,2.008825188609266
0.5,1.0,20000.0,50,2,1.2636038520515231
0.5,1.0,20000.0,50,5,1.0380990616255086
0.5,1.0,20000.0,50,10,1.0025370644367273
0.7,1.0,20000.0,50,1,3.3508552957598394
0.7,1.0,20000.0,50,2,1.6387851699882139
0.7,1.0,20000.0,50,5,1.1923956507284552
0.7,1.0,20000.0,50,10,1.0536657682555652
0.9,1.0,20000.0,50,1,9.773711706828157
0.9,1.0,20000.0,50,2,2.6955011931225816
0.9,1.0,20000.0,50,5,1.7188383384442603
0.9,1.0,20000.0,50,10,1.4142121651767283
